Open Time,BTCUSDT,ETHUSDT,BNBUSDT,BUSDUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,MATICUSDT,DOTUSDT,LTCUSDT
2020-08-18 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-19 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-19 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-19 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-19 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-20 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-20 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-20 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-20 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-21 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-21 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-21 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-21 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-22 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-22 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-22 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-22 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-23 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-23 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-23 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-23 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-24 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-24 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-24 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-24 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-25 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-25 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-25 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-25 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-26 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-26 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-26 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-26 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-27 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-27 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-27 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-27 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-28 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-28 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-28 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-28 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-29 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-29 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-29 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-29 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-30 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-30 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-30 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-30 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-31 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-31 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-31 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-08-31 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-01 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-01 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-01 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-01 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-02 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-02 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-02 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-02 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-03 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-03 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-03 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-03 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-04 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-04 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-04 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-04 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-05 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-05 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-05 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-05 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-06 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-06 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-06 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-06 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-07 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-07 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-07 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-07 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-08 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-08 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-08 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-08 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-09 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-09 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-09 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-09 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-10 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-10 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-10 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-10 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-11 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-11 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-11 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-11 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-12 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-12 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-12 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-12 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-13 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-13 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-13 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-13 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-14 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-14 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-14 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-14 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-15 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-15 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-15 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-15 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-16 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-16 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-16 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-16 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-17 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-17 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-17 12:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-17 18:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-18 00:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-18 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-18 12:00:00,1.0,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-18 18:00:00,1.0,1.0,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-19 00:00:00,1.0,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-19 06:00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-19 12:00:00,1.0,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-19 18:00:00,1.0,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-20 00:00:00,1.0,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-20 06:00:00,1.0,1.0,1.0,0.99949995,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-20 12:00:00,1.0,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-20 18:00:00,1.0,1.0,1.0,0.9996999700000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-21 00:00:00,1.0,1.0,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-21 06:00:00,1.0,1.0,1.0,0.9993999400000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-21 12:00:00,1.0,1.0,1.0,0.99949995,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-21 18:00:00,1.0,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-22 00:00:00,1.0,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-22 06:00:00,1.0,1.0,1.0,0.9996999700000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-22 12:00:00,1.0,1.0,1.0,0.9995999600000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-22 18:00:00,1.0,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-23 00:00:00,1.0,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-23 06:00:00,1.0,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-23 12:00:00,1.0,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-23 18:00:00,1.0,1.0,1.0,0.9995999600000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-24 00:00:00,1.0,1.0,1.0,0.9995999600000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-24 06:00:00,1.0,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-24 12:00:00,0.9800118208000002,1.0,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-24 18:00:00,0.9800118208000002,1.0,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-25 00:00:00,0.9800118208000002,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-25 06:00:00,0.9800118208000002,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-25 12:00:00,0.9800118208000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-25 18:00:00,0.9800118208000002,1.0,1.0,1.00020002,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-26 00:00:00,0.9800118208000002,1.0,1.0,1.00030003,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-26 06:00:00,0.9800118208000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-26 12:00:00,0.9800118208000002,1.0,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-26 18:00:00,0.9800118208000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-27 00:00:00,0.9800118208000002,1.0,1.0,1.00020002,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-27 06:00:00,0.9800118208000002,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-27 12:00:00,0.9800118208000002,1.0,1.0,1.00020002,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-27 18:00:00,0.9800118208000002,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-28 00:00:00,0.9800118208000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-28 06:00:00,0.9800118208000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-28 12:00:00,0.9800118208000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-28 18:00:00,0.9800118208000002,1.0,1.0,0.9996999700000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-29 00:00:00,0.9800118208000002,1.0,1.0,0.9993999400000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-29 06:00:00,0.9800118208000002,1.0,1.0,0.9996999700000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-29 12:00:00,0.9800118208000002,1.0,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-29 18:00:00,0.9800118208000002,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-30 00:00:00,0.9800118208000002,1.0,1.0,0.9995999600000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-30 06:00:00,0.9800118208000002,1.0,1.0,0.9992999300000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-30 12:00:00,0.9800118208000002,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-09-30 18:00:00,0.9807452808000001,1.0,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-01 00:00:00,0.9847929608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-01 06:00:00,0.9922631508,1.01848447,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-01 12:00:00,0.9604122044000002,0.9799743286,1.0,0.99919992,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-01 18:00:00,0.9604122044000002,0.9799743286,1.0,0.99949995,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-02 00:00:00,0.9604122044000002,0.9799743286,1.0,0.9992999300000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-02 06:00:00,0.9604122044000002,0.9799743286,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-02 12:00:00,0.9604122044000002,0.9799743286,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-02 18:00:00,0.9574128444000003,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-03 00:00:00,0.9604504244000002,0.9799743286,1.0,0.99979998,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-03 06:00:00,0.9604840944000003,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-03 12:00:00,0.9563845444000001,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-03 18:00:00,0.9599917844000002,0.9799743286,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-04 00:00:00,0.9581517644,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-04 06:00:00,0.9546509944000002,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-04 12:00:00,0.9541523144000003,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-04 18:00:00,0.9486559144000002,0.9799743286,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-05 00:00:00,0.9477113344000002,0.9799743286,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-05 06:00:00,0.9486650144000001,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-05 12:00:00,0.9412340636000003,0.9799743286,1.0,0.99989999,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-05 18:00:00,0.9412340636000003,0.9799743286,1.0,1.00010001,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-06 00:00:00,0.9412340636000003,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-06 06:00:00,0.9412340636000003,0.9799743286,1.0,0.9996999700000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-06 12:00:00,0.9412340636000003,0.9799743286,1.0,0.9996999700000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-06 18:00:00,0.9412340636000003,0.9799743286,1.0,0.9995999600000001,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-07 00:00:00,0.9412340636000003,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-10-07 06:00:00,0.9412340636000003,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-07 12:00:00,0.9412340636000003,0.9799743286,1.0,0.9996999700000001,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-07 18:00:00,0.9412340636000003,0.9799743286,1.0,0.99979998,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-08 00:00:00,0.9412340636000003,0.9799743286,1.0,0.99989999,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-08 06:00:00,0.9412340636000003,0.9799743286,1.0,0.99979998,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-08 12:00:00,0.9412340636000003,0.9799743286,1.0,1.00020002,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-08 18:00:00,0.9412340636000003,0.9799743286,1.0,1.00020002,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-09 00:00:00,0.9412340636000003,0.9799743286,1.0,1.00010001,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-09 06:00:00,0.9412340636000003,0.9799743286,1.0,1.00010001,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-09 12:00:00,0.9418894136000002,0.9799743286,1.0,1.00030003,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-09 18:00:00,0.9412510636000001,0.9799743286,1.0,1.00040004,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-10 00:00:00,0.9685666636000002,0.9799743286,1.0,1.00020002,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-10 06:00:00,0.9639307636000001,0.9799743286,1.0,1.00030003,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-10 12:00:00,0.9670264636000001,0.9799743286,1.0,1.00020002,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-10 18:00:00,0.9618703636000001,0.9799743286,1.0,1.00030003,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-11 00:00:00,0.9656715636000003,0.9799743286,1.0,1.00010001,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-11 06:00:00,0.9686091636000002,0.9799743286,1.0,0.99989999,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-11 12:00:00,0.9730096136000003,0.9799743286,1.0,0.99989999,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-11 18:00:00,0.9683133636000003,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-12 00:00:00,0.9709194636000003,0.9799743286,1.0,1.0,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-12 06:00:00,0.9577215136000001,0.9799743286,1.0,0.99989999,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-12 12:00:00,0.9842313136000003,0.9799743286,1.0,1.00020002,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-12 18:00:00,0.9818479136000002,0.9799743286,1.0,1.00040004,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-13 00:00:00,0.9801113636000002,0.9799743286,1.0,1.00030003,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-13 06:00:00,0.9782872636000002,0.9799743286,1.0,1.00020002,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-13 12:00:00,0.9670621636000001,0.9799743286,1.0,1.00010001,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-13 18:00:00,0.9726942636000002,0.9799743286,1.0,1.00030003,1.0,1.0,1.0,1.0,0.98012876688,1.0
2020-10-14 00:00:00,0.9719080136000002,0.9799743286,1.0,1.00030003,1.0,1.0,1.0,1.0,0.98012876688,1.0
